,dates,rating,review,title
0,2017/07/20,4,"대한민국 고궁 중에 추천 할 만한 고궁이다.몇백년 전, 왕들이 정치를 했던 곳을 직접 볼 수 있다는 것은 매우 흥미로운 일이다.또한 연못에 <경회루>라고 하는 정자도 있고 ~가서 보면 색다른 경험이 될것이다.",조용한 고궁
1,2017/07/14,4,친구랑 사진찍으러 갔었는데 이쁘게 잘 찍구 왔어요 눈 살짝 덮인 궁은 참 예쁜것 같아요 한복입고 찍기 조금 추웠지만 좋은 추억 남겼네요,궁은 참 신기해요
2,2017/07/20,4,느리게 산책하기 좋다구석구석 보는 재미가 있다도심 속 여유 있는공간낮에 가는 것도 야간개장에 가는것이 느낌이 다름,예쁘다
3,2017/07/14,4,"한국인이든 아니든, 방문하는 것이 좋습니다.항상 멀리서 스치며 보았을 때는 잘 몰랐으나 가까이서 보니 더 아름다워요. 야간개장 할 때 가는것도 좋은 방법이지만 사람이 많으니 주의하시길!",한국인이 아니라면 또는 한국인이라면
4,2017/07/12,4,대한민국의 대표적인 관광지로 광화문에 있어 방문하기에도 좋은 곳이다. 특히나 한복을 입고 방문하면 무료 입장 가능하여 더 멋진 곳이 되었다.,경복궁
5,2017/07/11,5,조용하고 고풍스러운 한국의 멋을 느낄 수 있습니다. 선선한 날씨에 다녀오면 최고. 야간 개장도 추천해요~,한국의 대표 명소
6,2017/07/11,4,"경복궁은 서울을 관광하러 온 사람이라면 내국인이라도 한번쯤 가보는 것이 좋다. 훌륭한 고궁뿐만 아니라 잘 갖춰진 산책길, 경회루 등 가족, 연인이 보고 즐기는 요소들이 많다.",우리나라 대표적인 관광지
7,2017/07/08,5,항상 가도가도가도 정말 좋은 곳이에요 꼭꼭 많은이들이 방문했으면 좋겠고 아름답게 유지되었으면 좋겠어오,언제든가기아름다운곳
8,2017/07/03,5,경복궁 야간개장은 완전 강추 데이트 코스!!특히 해가 저물어가는 시간대의 고즈넉한 풍경의 느낌이 아주 좋아요.,커플 방문
9,2017/06/23,5,낮에도 가본 적이 몇차례 있었고 야간개장 때 도 가보았는데 특히 야간개장 시에는 그 멋이 몇배로 멋진것같아요^^ 그때 꼭 가보시길 추천합니다^^,야간개장 시 필히 가보기★
10,2017/07/20,5,굿. 고즈넉함서울 시내에 이런 곳이 있었다니...500년전의 숨결이 느껴졌다면 좀 과장인가요?현대와 전통이 만나는 곳!,전통
11,2017/07/14,5,발전된 서울 도심에서 전통을 느낄수있는 공간. 특히 경회루는 압권이며 야간개장에 맞춰가면 또 다른 감동을 느낄수있다,도심속의 전통
12,2017/06/17,5,커플 가족도 좋지만 특히 외국인친구들에게는 필수로 추천하는 장소예요 아기자기한 멋도있고 계절에따라 매력이달라요,빠질수없는 명소
13,2017/06/16,5,후문에 청와대로 연결 통로가 있고 청와대로 갈 수 있습니다. 외국인들이 여행을 많이 오고. 주변에 한복 드레스 투어를 많이하는 듯 합니다.,뒤로 청와대에 갈수 있습니다..
