,dates,rating,review,title
0,2017/06/17,4,친구들과 특별하고 재밌는 사진 남기기에 좋은 곳 같아요. 텔레비전에서 나왔던 디테일한 세트장을 직접 보는 재미가 있었어요. ,사진찍기 좋아요.
1,2017/06/17,3,과거 모습이 전시되어있으면서 현대의 배우들을 볼수도 있다. 남한산성같이 쭉 걷다가 사진 찍다가 주변을 한바퀴 돌고오면 된다. 여유로운 산책이었다,과거와 현대의 정취
2,2017/06/13,5,드라마세트장이라하면 사실 비슷하지만 옛날교복을 빌려입고 사진찍는 재미가 좋다. 가격도저렴.2000원? 여름엔너무더울것같아 비추,생각보다 재밌는곳
3,2017/06/05,3,삼년전에 재밌게 보고 삼년만에 다시 방문했는데 그사이 더 노후화 되고 관리도 안되어 달동네 세트장은 흉물이 되어가는 듯 했다. 내가 더 민망했다. 깨지고 뜯긴 문짝 같은것들을 보더라도 마음을 비워야함걔다가 다른 컨텐츠는 삼년전 그대로 인듯. 장터만 좀 바뀐것 같다. 심지어 나오는 노래도 삼년전 그대로. 관리를 전혀 안하는 듯하다. 아마도 입장료를 받아 재투자를 하지 않는듯 하다. ,두번째 방문. 재미는 있다. 시설관리는 엉망
4,2017/05/22,3,"드라마 세트장이라고 하지만, 실제 촬영한 것은 많지는 않은 듯 하고, 7~80년대 서울의 산동네 모습과 유사한 느낌이지만, 대체로 다소 작고 협소하게 지어져 있었습니다. 시내에서 멀지않고 사진찍는 재미가 있을 수 있어 가볍게 들러볼만 하지만 일부러 찾아나설 필요는 없는 곳으로 생각되네요. ",오래된 작은 달동네 느낌
5,2017/03/07,3,순천에 볼게 많지 않아서 들렸는데 볼 건 많지 않지만 사진찍는거 좋아하면 한번 들릴만 한 것 가탕요,시간이 남는다면 한번 ..
6,2017/01/25,2,"잘만 관리하면 정말 볼거리도 많고 오랜시간 머물 수 있을 것 같은데, 폐가촌을 보는 줄 알았습니다. 예전 추억의 서울(도시)의 모습을 재현하고자 한건 알겠는데, 너무 지저분한 건물들의 외관에 실망만 하고 왔네요. 드라마 촬영때만 깨끗하게 하는게 아니라 펑소 일반 관광객들이 방문할 때에도 관리를 잘 해서 많이 사람들이 찾아올 수 있게 했으면 합니다.",부실한 관리로 폐가를 보는 듯한 느낌
7,2016/12/30,4,"순천에서 순천만 정원, 갈대밭을 본후 시간여유가 있다면 이곳에도 잠깐 들러 사진도 찍기 좋은곳이에요~~",사진찍기 좋은
8,2016/12/13,3,기대 많이 하고 갔는데 별로 였습니다.건물도 제대로 보존되어 있지 않구요.위험한 구조도 많이 있어서 제대로 구경도 못해서 아쉬웠습니다.그래도 교복입고 사진 찍고 하는 건 재미있습니다.,생각보다는 별로 입니다.
9,2016/11/15,3,"예전부터 봐왔던 70-80년대가 등장하는 사랑과 야망, 에덴의 동쪽, 제빵왕 김탁구, 자이언트, 빛과 그림자, 감격시대, 허삼관 등의 드라마의 촬영지라고 하는데 세트장이여서 우리가 TV로 보던 화면과는 규모의 차이도 있고해서 큰 감흥은 없었어요다만 옛 향수를 그리워 하시는 분들은 싼 가격으로 교복대여도 가능하니 교복차림으로 사진찍으시기엔 좋을듯해요",생각보다는 큰 감흥이 없어요
10,2017/06/17,3,크게 둘러볼 곳은 없습니다. 세트장이라 보니 안쪽은 아무 것도 없습니다. 겉만 볼 수 있는 부분이기도 하구요. 그렇지만 60대 사진을 찍는 것은 나쁘지 않을 것 같습니다.,사진만 찍기 좋은 곳
