,dates,rating,review,title
0,2017/05/02,5,순천은 가볼만한곳이 많은 도시이다.이번 여행에 순천만 국가공원을 방문했는데 연휴기간이라 사람들이 많았다.국가별로 정원을 만들었고 특히 네덜란드 정원은 여러가지의 꽃이 있어 매우 인상적 이었다. 호수사이들에 언덕이 있는데 사람들이 줄지어 올라가는 모습이 재미 있게 보인다.정원을 둘러보는데 2시간이면 충분하다.순천여행할때 국가정원 한번 가보세요.,순천만 국가정원
1,2017/04/23,5,사방에 꽃이피어 걷기만해도 기분이좋았어요. 넓기때문에 천천히 돌아보는걸 추천합니다. 초록잔디와 꽃 덕에 사진 찍으면 이쁘게나와요,봄에가면 좋아요
2,2017/03/07,3,"한국정원 쪽이 좀 상세하고 규모 있게 만들어진 것 같고, 다른 국가정원들은 상대적으로 좀 부실하였으나, 관광수요나 지리적 측면에서 가까운 중국/일본/태국 쪽이 좀 규모있게 되어 있었으며, 원래 정원들이 유명한 프랑스/이탈리아나 미국 등은 해당 국가의 실제 정원과 비교하기에 턱없이 작은 미니어처 느낌으로 중국 심천의 테마파크 대비로도 부실한 느낌이 있었습니다.그러나 전체적으로 순천에서 산책하기에 아주 좋고, 날이 따뜻한 경우 더욱 볼만할 것 같네요",봄/여름/가을에 적합한 곳
3,2017/02/18,5,관리가 잘 되있어 깔끔하고 그리고 생각했던것보다 사람들도 많이 없어 한적하게 산책하고 왔습니다. 순천만정원을 걷는데 다 돌면 대략 2시간~3시간 정도 걸릴 것 같네요.그런데 이정도 시간을 투자해도 아깝지 않을 만큼 눈이 즐거웠습니다. 그리고 순천만정원에서 순천만 생태공원까지 가는 모노레일이 있으니 정원에서 바로 생태공원도 갈 수 있어 편리했네요.,산책하면서 경치를 구경하기에 딱 좋은 정원
4,2017/01/22,5,전남 순천의 생태친화적 공원으로 추천합니다. 드넓은 구역에 꽃을 중심으로 한 동쪽과 생태친화적 전시공간 등의 서쪽 구간을 천천히 둘러 보노라면 자연히 힐링되는 느낌이 드는 곳입니다.,방문기
5,2016/12/13,4,주차공간도 넓고 날씨좋은날 가면 정말 좋습니다. 중간에 벤치도 많이있어 넓지만 휴식도 취하면서 관광하기 좋아요~~,정말 좋아요~~!!
6,2016/11/15,4,천천히 구경해야 합니다.너무 빨리 움직이면 금방 지칠 듯합니다.ㅎㅎ체력이 좋아야 구경 제대로 할 것 같아요.,정말 넓어요~
7,2016/11/06,4,워낙 넓어서 둘러보기 어렵습니다. 빠르게 둘러보시려면 중간중간 부분에 투어버스 있으니 참고하시기 바라겠습니다. 그리고 순천만 갈대공원도 중간에 레일을 타고 갈 수 있기 때문에 좋습니다.,하루에 둘러보기 어려운 곳
8,2016/10/21,5,여기는 어디에서나 사진을 찍으면 너무 예뻐요.넓기도 너무 넓어서 여유롭게 전부 둘어볼려면 하루가 너무 짧아요.레일을 타고 순전만 갈대밭으로 왔다갔다 할 수도 있어 좋긴 하지만단점은 그늘이 별로 없어요.햇살 따가울땐 모자와 선글라스가 필수예요.,하루에 다 둘러보기 힘들어요
9,2016/09/30,4,"정원을 잘 가꿔놨고 계절마다 꽃이 다르고 풍경이 달라서 가족, 친구들과 산책하기 좋아요. 홍학도 있구요, 거위, 백조도 있어요.",산책하기 좋은
10,2016/09/27,5,아이와 함께 가서 무도 보지는 못했지만성인들만 이용할 경우 볼것이 많고 하루 일정으로 가보면 좋은 곳입니다.갈대밭과도 연결 교통편이 있어서 편합니다.,순천만 국가 정원
11,2016/09/17,5,언제나 사람이 많습니다. 심지어 비가와도 많습니다. 여러나라 특색이 있는 정원들도 있어서 볼게 많은 곳 입니다. 순천 온다면 한 번 방문해도 좋을 거 같습니다,볼게 많은 곳
12,2016/09/17,5,아기자기하게 잘 꾸며놓았어요 제법 넓어서 열차를 탔는데 선선한 날씨라면 전부 걸어보고 싶은 곳이었습니다 태국정원에 있는 선베드가 아주 매력적이었어요,봄에 걷고 싶은 곳
13,2016/09/03,4,"전 1년 7개월 된 셔틀랜드쉽독 수컷의 견주입니다2016년 9월 3일 부터 7일까지 ""제 4회 순천만 세계동물 영화제"" 가 열립니다.전 행사 첫날인 3일 참가했고, 더불어 애견동호회와 함께하는 반려동물 걷기대회도 참석했습니다.팔마대교에서 부터 천천히 주변을 보면서 약 왕복 5km 내외를 걸어보시길 추천합니다.",순천만에서 반려견과 함께 걷고 영화도 함께하보세요
14,2016/08/30,4,"기차여행으로 순천 다녀왔습니다.순천만정원 까지는 순천역에서 택시 타면 금방이에요.각 나라별 테마 정원이 있어서 구경하는데 지루하지 않아요.녹색이 넓게 펼쳐져있어서 힐링되는 기분입니다.저는 여름에 가서 힘들었는데, 봄가을 시원할때 다니면 좋을거같아요.",알차게 잘 짜여져 있어요.
15,2016/08/17,4,순천만국가정원 역시 스케일 남다릅니다. 아주 크고~ 구경거리가 많았습니다. 나라별 특징을 잘살린 정원이 있었어요~조금 많이 걸으셔야 해요~ 구석구석 다볼려면 ㅎㅎㅎ무모하게 걷기만 하다.. 관람차가 있다는걸 알았어요~ 순천만 정원은 성인 기준 8000원입니다. ,순천만정원
16,2016/08/07,4,막 엄청나다 그런 건 아니에요. 그렇지만 충분히 아름다운 정원입니다. 각종 국가별로 여러 식물들을 볼 수 있어요. 평화로운 관광 원하시는 분들에게 추천합니다.,좋아요!
17,2016/08/02,4,"어버이날 맞춰 부모님 모시고 갔던 순천만정원수목원. 습지. 세계정원 등으로 구분되어 있어서어떤걸 먼저 둘러봐야 할지 선택이 가능해서 좋았어요무궁화정원. 네덜란드. 독일. 미국. 스페인. 야수의 장미공원 등으로 진짜 넓고 볼 것도 많고너무 잘되어 있어서 좋더라구요. 단, 너무 넓은 나머지 쉴 곳이 카페가 아닌 이상쉴 곳이 부족해서 그건 불편하더라구요정원내 카페에서 아이스크림 먹으면서쉬기도 하고 돗자리 깔고 누워서 쉬다 왔는데진짜 좋았어요",순천만정원
18,2016/07/28,4,순천만 정원 입장료가 좀 비싸긴 했지만 나름 좋았어요단점은 여름에 가면 사람이 많이있고 너무 덥네요순천 시티투어 버스를 이용하면 좋은것 같아요.,순천만정원 후기
19,2016/07/13,5,시작은 순천만 정원 박람회를 위해 만들어진 곳이었습니다. 그랬던 곳이 현재는 순천 시민들의 정원으로 거듭나 순천을 대표하는 관광 명소가 되었습니다.사계절 색다른 모습으로 아름다운 곳이지만 부지가 워낙 넓고 광활하여 더운 여름날 관광은 조금 힘들 수 있습니다. 편안한 신발을 착용하고 물을 꼭 지참하시길!,순천을 대표하는 또 하나의 관광 명소
